user,first_open_date,first_open_hours,first_open_month,first_open_year,dayofweek,age,numscreens,minigame,used_premium_feature,enrolled,liked,enrolled_date,C_check,L_check,S_check,V_check,G_check
17739,2012-12-11,19,12,0,1,21,27,0,0,1,0,2012-12-11,1,0,0,1,1
246710,2013-02-18,2,2,1,0,21,10,0,0,0,0,,0,0,0,1,1
335625,2013-02-19,4,2,1,1,22,19,0,0,0,0,,0,0,0,1,1
91566,2013-03-25,15,3,1,0,23,39,0,0,0,0,,1,1,0,0,1
34071,2013-02-21,19,2,1,3,20,57,0,0,1,0,2013-02-21,1,1,0,1,1
44814,2013-02-05,2,2,1,1,31,27,0,0,1,0,2013-04-08,1,1,0,1,1
117488,2013-04-22,20,4,1,0,24,23,0,0,0,1,,0,1,0,0,0
138117,2013-01-05,22,1,1,5,27,4,0,0,1,0,2013-01-07,0,0,0,0,1
150614,2013-05-27,22,5,1,0,33,21,0,0,1,0,2013-05-27,0,1,0,1,1
366999,2013-04-12,17,4,1,4,48,12,1,0,0,0,,1,0,0,1,1
248925,2013-06-09,17,6,1,6,32,38,0,0,1,0,2013-06-09,1,1,0,1,1
20747,2012-12-09,23,12,0,6,31,17,0,0,0,0,,0,1,0,1,1
354498,2013-04-28,19,4,1,6,24,16,1,1,0,0,,0,0,0,1,1
305707,2013-01-30,13,1,1,2,19,7,0,0,0,0,,0,0,0,1,0
43620,2013-03-08,5,3,1,4,37,41,0,0,1,0,2013-03-08,1,1,0,1,1
199975,2013-03-17,10,3,1,6,37,13,0,0,1,0,2013-03-18,0,0,0,1,1
185092,2013-02-01,6,2,1,4,45,39,0,0,1,1,2013-02-01,1,1,1,1,1
177834,2013-06-02,23,6,1,6,34,7,0,0,0,0,,0,0,0,1,0
235616,2013-04-19,12,4,1,4,38,14,0,0,0,1,,0,1,0,1,1
350654,2013-02-05,21,2,1,1,46,18,0,0,1,1,2013-02-05,0,1,0,1,1
149499,2013-01-21,1,1,1,0,22,8,0,0,1,0,2013-02-01,0,1,0,0,1
277249,2013-01-30,19,1,1,2,19,27,0,0,1,0,2013-01-30,0,1,0,1,1
58451,2013-02-15,7,2,1,4,28,52,0,0,1,1,2013-02-15,1,1,0,1,1
163715,2013-06-23,14,6,1,6,35,48,1,0,1,0,2013-06-23,1,1,0,1,1
274093,2013-06-09,16,6,1,6,28,32,0,0,0,0,,1,1,0,1,1
139567,2013-05-16,3,5,1,3,22,11,0,0,0,0,,0,1,0,0,1
137484,2013-06-02,2,6,1,6,21,16,0,0,1,0,2013-06-02,0,0,0,1,1
39677,2013-05-27,19,5,1,0,25,28,0,0,1,0,2013-05-27,1,1,0,1,1
277960,2013-02-12,3,2,1,1,23,29,0,0,1,0,2013-02-12,1,1,0,1,1
351023,2013-03-09,20,3,1,5,32,24,0,0,1,0,2013-03-09,1,0,1,1,1
123984,2013-06-07,2,6,1,4,34,21,0,0,1,0,2013-06-07,0,1,0,1,0
184032,2013-06-16,6,6,1,6,24,136,1,0,1,0,2013-06-16,1,1,1,1,1
329480,2013-04-24,19,4,1,2,25,10,0,0,1,0,2013-05-03,0,1,0,1,1
60702,2013-03-04,5,3,1,0,31,41,0,0,1,0,2013-03-06,1,1,0,1,1
125898,2013-06-12,16,6,1,2,27,28,0,1,1,0,2013-06-12,0,1,0,1,1
306457,2013-06-16,23,6,1,6,17,5,0,0,0,1,,0,0,0,0,0
143018,2013-03-12,16,3,1,1,35,13,0,0,1,0,2013-03-12,0,0,0,1,1
40978,2012-12-22,15,12,0,5,26,11,0,0,1,1,2013-02-05,1,1,0,1,0
232734,2012-12-09,8,12,0,6,27,8,0,1,0,1,,0,1,0,1,1
172249,2013-01-03,18,1,1,3,20,18,0,0,1,0,2013-01-30,1,0,0,1,1
22652,2013-02-23,4,2,1,5,30,47,0,0,1,0,2013-02-23,1,0,1,1,1
127958,2013-05-14,4,5,1,1,23,47,0,0,1,0,2013-05-14,1,1,0,1,1
86325,2013-05-28,21,5,1,1,56,13,1,0,0,0,,0,0,0,1,1
325393,2013-07-03,21,7,1,2,19,11,0,1,1,0,2013-07-03,0,0,0,1,1
272545,2013-04-03,18,4,1,2,42,21,0,1,0,0,,1,1,0,0,1
93890,2013-05-05,19,5,1,6,24,7,0,0,0,0,,0,0,0,1,1
69353,2013-02-17,5,2,1,6,30,7,0,0,1,0,2013-04-25,0,0,1,0,0
208409,2013-07-03,19,7,1,2,17,20,0,0,1,0,2013-07-03,0,1,0,1,1
25627,2013-02-26,14,2,1,1,30,18,0,0,1,1,2013-02-26,0,0,0,1,0
290211,2013-03-20,21,3,1,2,34,16,0,1,1,0,2013-06-25,0,0,0,1,0
13148,2013-06-14,22,6,1,4,37,4,0,0,0,0,,0,1,0,0,0
140258,2013-01-01,10,1,1,1,27,34,0,0,0,0,,1,1,0,1,1
272434,2013-02-02,6,2,1,5,19,16,0,0,1,0,2013-02-02,0,0,0,1,1
311539,2013-02-15,7,2,1,4,25,40,0,0,1,0,2013-06-12,1,1,0,1,1
54898,2013-04-07,11,4,1,6,20,1,1,0,0,0,,0,0,0,1,0
72135,2013-03-28,2,3,1,3,34,15,0,0,1,0,2013-03-28,0,1,0,1,1
246297,2013-04-22,4,4,1,0,24,59,0,0,1,0,2013-04-22,1,1,0,1,1
43535,2013-01-03,8,1,1,3,43,9,0,0,1,0,2013-01-03,1,0,0,1,1
255766,2013-05-30,14,5,1,3,41,45,0,0,1,0,2013-05-30,1,1,0,1,1
182086,2013-05-09,14,5,1,3,21,25,0,0,1,0,2013-05-09,1,1,0,1,1
353697,2013-03-15,22,3,1,4,29,33,0,0,1,1,2013-03-15,1,1,1,1,1
151404,2013-04-30,3,4,1,1,33,7,1,1,1,0,2013-06-06,0,0,0,1,0
78196,2013-06-29,19,6,1,5,26,29,1,0,0,0,,1,1,0,1,1
317630,2012-12-21,21,12,0,4,24,3,0,0,0,0,,1,0,0,0,0
96320,2013-07-05,19,7,1,4,17,4,0,0,0,0,,0,1,0,0,1
3052,2012-12-29,23,12,0,5,41,38,0,0,0,0,,1,1,1,0,1
214961,2013-05-20,12,5,1,0,30,21,1,1,1,1,2013-05-23,1,1,0,0,0
120380,2013-01-31,23,1,1,3,33,6,0,0,1,0,2013-02-21,0,0,0,1,0
179917,2013-05-04,15,5,1,5,23,49,0,0,1,0,2013-05-04,1,1,0,1,1
130555,2013-05-11,3,5,1,5,20,6,0,0,1,0,2013-05-11,0,0,0,1,0
272615,2013-06-25,18,6,1,1,31,8,0,0,1,0,2013-06-25,0,0,0,1,1
15106,2013-05-18,12,5,1,5,22,20,0,0,1,0,2013-05-18,0,0,0,1,1
202340,2013-05-28,13,5,1,1,30,41,0,0,1,0,2013-05-28,1,1,0,1,1
105984,2013-05-12,6,5,1,6,39,40,0,0,1,0,2013-05-12,1,1,0,1,1
155491,2013-04-19,21,4,1,4,31,25,0,1,1,0,2013-05-08,0,1,0,0,1
216192,2012-12-20,1,12,0,3,21,34,0,0,1,0,2012-12-20,1,1,1,1,1
316136,2013-05-17,15,5,1,4,37,11,0,0,0,0,,0,0,0,1,1
35333,2013-05-28,4,5,1,1,17,89,0,0,1,0,2013-05-28,1,1,0,1,1
169339,2013-03-20,0,3,1,2,31,22,0,0,1,0,2013-03-20,1,1,0,1,1
94763,2013-05-21,16,5,1,1,47,8,0,0,0,1,,1,1,0,0,1
177859,2013-03-24,5,3,1,6,24,20,0,0,1,0,2013-03-24,1,1,0,1,1
27513,2013-04-28,16,4,1,6,32,25,1,0,1,0,2013-04-28,1,0,0,1,1
368717,2013-03-14,18,3,1,3,25,25,0,1,1,0,2013-03-17,1,0,1,1,1
165008,2013-01-03,18,1,1,3,25,43,0,0,0,0,,0,0,1,1,1
109154,2013-05-17,23,5,1,4,26,13,0,0,1,0,2013-05-17,0,0,0,1,1
276264,2013-02-22,7,2,1,4,18,20,0,0,0,0,,0,1,0,1,1
154536,2013-05-28,4,5,1,1,29,47,1,1,1,0,2013-05-28,1,1,0,1,1
116034,2013-06-01,12,6,1,5,20,39,0,1,1,0,2013-06-01,0,1,0,1,1
167756,2013-01-29,12,1,1,1,22,38,0,0,1,0,2013-01-29,0,1,1,1,1
56270,2013-06-23,22,6,1,6,46,35,0,0,1,1,2013-06-23,1,1,0,1,0
144393,2013-04-30,21,4,1,1,31,36,1,0,1,0,2013-04-30,1,1,0,1,1
138529,2013-06-18,18,6,1,1,45,22,1,0,0,0,,0,1,0,0,1
339263,2013-03-07,19,3,1,3,28,12,0,0,0,0,,0,1,0,0,1
364344,2013-06-04,22,6,1,1,42,37,1,0,1,0,2013-06-05,0,1,0,1,1
262301,2013-05-31,3,5,1,4,23,20,1,1,1,1,2013-05-31,1,0,0,1,1
89726,2013-04-28,17,4,1,6,24,13,0,0,1,1,2013-04-28,0,1,0,1,1
312461,2013-04-17,13,4,1,2,19,11,0,0,1,0,2013-04-30,0,1,0,1,1
62035,2013-05-05,7,5,1,6,38,13,1,1,1,0,2013-05-05,1,0,0,1,1
264696,2013-07-06,19,7,1,5,27,14,0,1,1,1,2013-07-06,1,1,0,1,0
269067,2013-01-14,3,1,1,0,33,19,0,0,1,0,2013-01-14,0,1,0,1,1
347837,2013-01-09,7,1,1,2,28,40,0,0,0,0,,0,1,1,1,0
229111,2013-02-24,0,2,1,6,53,16,0,0,1,0,2013-02-24,0,0,0,1,1
25410,2013-06-04,20,6,1,1,27,43,0,0,1,0,2013-06-04,1,1,0,1,1
247778,2013-02-27,21,2,1,2,30,6,0,0,1,0,2013-02-27,1,1,0,0,0
93446,2013-01-09,17,1,1,2,24,27,0,0,1,1,2013-06-09,0,1,0,1,1
155344,2013-05-24,22,5,1,4,44,56,1,1,0,0,,1,1,0,0,1
348712,2013-02-04,0,2,1,0,33,31,0,1,1,0,2013-02-19,0,1,0,1,1
197551,2013-02-01,9,2,1,4,22,33,0,0,0,1,,1,1,0,0,1
178798,2013-06-30,2,6,1,6,49,12,0,1,0,0,,1,1,0,0,1
316132,2013-07-05,14,7,1,4,42,29,1,0,1,0,2013-07-05,1,0,0,1,1
133446,2013-04-19,1,4,1,4,29,32,0,0,1,1,2013-04-19,0,1,0,1,1
94214,2013-02-13,4,2,1,2,26,30,0,0,1,1,2013-02-13,1,1,0,1,1
217161,2013-05-18,23,5,1,5,39,12,0,0,0,1,,0,1,0,1,1
241331,2012-12-26,17,12,0,2,19,12,0,1,0,0,,1,1,0,0,1
135746,2013-06-20,23,6,1,3,36,2,0,0,1,1,2013-06-21,1,1,0,0,0
354357,2013-06-04,13,6,1,1,19,6,0,0,0,0,,0,0,0,0,0
183537,2013-01-04,17,1,1,4,33,5,1,1,0,0,,1,1,0,0,0
240067,2013-01-11,15,1,1,4,46,27,0,0,1,0,2013-01-11,1,1,0,1,1
231204,2013-03-21,4,3,1,3,38,30,0,0,1,0,2013-03-21,0,0,0,1,1
12895,2012-12-30,22,12,0,6,21,11,0,0,1,0,2013-02-26,1,1,0,0,1
255296,2013-06-01,21,6,1,5,28,36,0,0,1,0,2013-06-01,0,0,0,1,1
235640,2013-06-06,0,6,1,3,25,9,0,0,0,0,,0,1,0,1,1
30069,2013-02-10,19,2,1,6,20,24,0,0,0,0,,0,1,0,1,1
116493,2013-06-04,18,6,1,1,21,44,0,0,1,0,2013-06-04,1,1,0,1,1
271120,2013-07-08,18,7,1,0,24,27,0,0,1,0,2013-07-08,0,1,0,1,1
270132,2013-03-15,0,3,1,4,19,92,0,0,1,0,2013-03-15,1,1,0,1,1
7914,2013-03-01,14,3,1,4,30,17,0,0,1,0,2013-03-01,0,0,0,1,0
145742,2013-02-05,21,2,1,1,17,9,0,0,1,0,2013-02-05,1,0,0,1,1
233803,2013-06-11,1,6,1,1,47,8,0,0,0,0,,1,1,0,0,0
182226,2013-01-18,16,1,1,4,23,20,0,0,1,0,2013-01-18,1,1,0,1,1
100926,2013-07-06,23,7,1,5,38,22,0,0,0,0,,1,0,0,1,1
284326,2013-06-10,1,6,1,0,37,23,0,0,1,0,2013-06-10,0,0,0,1,1
328645,2013-04-09,3,4,1,1,18,16,0,0,1,0,2013-04-09,0,1,0,1,1
353523,2013-02-01,10,2,1,4,39,12,0,0,1,0,2013-02-01,0,0,0,1,1
270946,2013-03-23,6,3,1,5,20,20,0,0,1,0,2013-03-23,0,1,0,1,1
99313,2013-05-13,13,5,1,0,19,23,0,0,0,0,,0,0,0,1,1
133478,2013-05-21,17,5,1,1,24,9,0,0,1,0,2013-05-21,1,0,0,1,1
173108,2013-05-12,2,5,1,6,20,26,0,0,0,0,,1,1,0,0,1
99535,2013-05-19,8,5,1,6,41,59,0,0,1,1,2013-05-19,1,1,1,1,1
213074,2013-05-25,20,5,1,5,21,31,0,0,1,0,2013-05-25,0,0,0,1,1
89934,2012-12-08,17,12,0,5,40,51,0,0,0,0,,1,1,0,1,1
88818,2013-03-26,7,3,1,1,24,26,0,0,1,1,2013-03-29,1,1,0,1,1
157846,2013-01-29,6,1,1,1,27,6,0,0,0,0,,0,0,0,1,1
262169,2013-01-29,18,1,1,1,22,8,0,0,1,0,2013-01-29,0,0,0,1,1
334017,2013-06-24,21,6,1,0,20,27,0,0,0,0,,0,1,0,1,1
137410,2013-03-12,22,3,1,1,26,57,0,0,0,0,,1,1,0,1,1
67270,2013-01-26,16,1,1,5,23,3,0,0,0,0,,0,1,0,0,0
74986,2013-05-12,16,5,1,6,24,22,0,1,1,0,2013-06-16,0,0,0,1,1
141543,2013-04-22,20,4,1,0,28,16,0,0,1,0,2013-04-22,0,1,0,1,1
267454,2013-05-13,17,5,1,0,29,15,0,1,0,0,,1,1,0,0,1
2584,2013-04-12,21,4,1,4,32,13,0,0,0,0,,1,1,0,0,1
153178,2013-05-26,7,5,1,6,23,27,0,0,1,0,2013-05-26,1,1,0,1,1
282214,2013-03-20,8,3,1,2,21,22,1,0,1,1,2013-03-20,1,0,0,1,1
370820,2013-06-05,20,6,1,2,18,36,0,0,1,0,2013-06-05,1,1,0,1,1
304331,2013-06-29,1,6,1,5,26,70,0,0,1,0,2013-06-29,1,1,0,1,1
47893,2013-05-27,22,5,1,0,43,58,1,0,1,0,2013-05-27,1,1,1,1,1
21054,2013-04-28,2,4,1,6,37,9,0,0,0,1,,0,1,0,0,1
81825,2013-02-26,10,2,1,1,28,15,0,0,1,1,2013-02-26,0,0,0,1,0
269391,2013-06-19,20,6,1,2,21,13,0,1,0,0,,0,1,0,0,1
234265,2013-02-11,10,2,1,0,31,24,0,0,1,1,2013-02-11,0,1,0,1,1
36273,2013-02-18,15,2,1,0,46,6,0,0,0,0,,1,1,0,0,1
128464,2012-12-09,4,12,0,6,45,4,0,1,0,0,,0,1,0,0,0
309069,2012-12-23,20,12,0,6,29,1,1,0,1,1,2013-05-27,0,0,0,0,0
32977,2012-12-15,7,12,0,5,44,16,0,0,1,0,2013-02-24,1,1,1,1,1
152086,2013-06-23,16,6,1,6,40,13,0,1,0,1,,1,1,0,0,1
90836,2013-05-30,6,5,1,3,27,23,0,0,0,0,,1,1,0,0,1
324080,2013-06-21,14,6,1,4,50,16,1,0,1,0,2013-06-21,1,0,0,1,1
132356,2013-06-26,4,6,1,2,19,15,0,1,1,0,2013-06-26,0,1,0,0,1
84550,2013-05-11,0,5,1,5,23,34,0,0,1,0,2013-05-11,0,1,0,1,1
335132,2012-11-25,17,11,0,6,40,2,0,0,0,0,,0,1,0,0,0
61310,2013-05-28,22,5,1,1,38,66,0,1,0,0,,1,1,0,0,1
276122,2013-06-10,18,6,1,0,23,25,0,0,1,0,2013-06-19,0,1,0,1,1
243662,2013-06-18,16,6,1,1,19,24,0,0,0,0,,0,0,0,1,1
72928,2013-02-15,20,2,1,4,52,11,0,0,1,0,2013-02-15,1,0,0,1,1
195650,2012-12-19,22,12,0,2,29,6,0,0,1,0,2013-02-27,1,1,0,0,1
237569,2013-06-04,18,6,1,1,24,21,0,0,1,0,2013-07-08,0,0,0,0,1
88251,2013-01-29,19,1,1,1,20,19,0,0,0,0,,0,1,0,1,1
313088,2013-02-09,18,2,1,5,24,46,0,0,1,0,2013-02-09,1,0,0,1,1
246668,2012-12-07,19,12,0,4,56,6,0,0,0,0,,0,0,0,0,1
260440,2013-02-13,7,2,1,2,23,27,0,0,1,0,2013-03-01,1,1,0,1,1
93801,2013-02-26,22,2,1,1,21,19,0,1,0,0,,0,1,0,0,0
325447,2013-01-07,0,1,1,0,24,28,0,0,1,0,2013-01-28,1,1,0,1,0
84955,2012-12-18,15,12,0,1,48,55,0,0,1,1,2012-12-18,1,1,0,1,1
166886,2013-04-14,9,4,1,6,18,11,0,0,0,0,,1,1,0,1,1
67380,2013-01-22,13,1,1,1,42,13,0,0,0,0,,0,1,0,0,1
336299,2013-04-14,10,4,1,6,31,4,0,0,1,0,2013-04-14,0,0,0,0,1
217381,2013-05-05,19,5,1,6,22,8,0,0,0,0,,0,0,0,0,0
595,2013-06-01,0,6,1,5,21,23,0,0,0,1,,0,1,0,1,1
176032,2013-04-28,19,4,1,6,19,17,0,0,1,0,2013-04-28,1,0,0,1,1
81054,2013-06-14,2,6,1,4,31,12,0,0,1,0,2013-06-19,0,0,0,0,1
119550,2013-04-07,14,4,1,6,38,40,0,0,1,0,2013-04-07,1,1,1,1,1
233560,2013-01-28,3,1,1,0,22,22,0,1,1,0,2013-01-28,1,1,1,1,1
235763,2013-05-20,11,5,1,0,23,13,0,0,1,0,2013-05-20,0,0,0,1,0
99595,2013-01-29,14,1,1,1,26,4,0,0,1,1,2013-01-29,0,0,0,1,1
113895,2013-07-09,6,7,1,1,23,5,0,0,0,0,,0,1,0,0,0
106449,2013-01-12,3,1,1,5,47,10,0,0,0,0,,1,1,0,0,0
355389,2013-04-19,1,4,1,4,30,61,1,0,0,0,,1,1,1,1,1
11366,2013-02-21,13,2,1,3,53,24,0,0,1,0,2013-02-21,1,1,0,1,1
207380,2013-02-03,19,2,1,6,25,25,0,0,1,0,2013-02-03,1,1,0,1,1
322521,2012-12-08,23,12,0,5,39,75,0,1,1,0,2012-12-08,0,1,0,1,1
326276,2013-04-07,22,4,1,6,24,55,1,0,1,1,2013-04-07,1,1,1,1,1
26534,2013-05-27,17,5,1,0,33,12,0,0,1,0,2013-05-27,0,0,0,1,0
67930,2013-06-14,14,6,1,4,39,28,0,0,0,0,,1,1,0,1,1
321781,2013-05-12,4,5,1,6,21,10,0,0,1,0,2013-05-12,0,1,0,0,0
311122,2013-03-23,21,3,1,5,49,9,1,0,1,0,2013-03-23,1,0,0,1,1
22724,2013-05-14,20,5,1,1,34,39,0,0,1,0,2013-05-14,1,1,0,1,1
54275,2013-03-02,1,3,1,5,37,34,0,1,0,0,,1,1,0,0,1
133403,2013-06-27,0,6,1,3,24,10,0,0,0,0,,0,1,0,1,1
22623,2013-01-13,4,1,1,6,19,50,0,0,1,0,2013-01-13,1,1,1,1,1
152107,2013-01-24,10,1,1,3,33,1,0,0,1,0,2013-01-24,0,0,0,0,0
206614,2012-12-11,13,12,0,1,36,5,0,0,0,0,,0,1,0,0,1
152317,2012-12-20,3,12,0,3,42,46,0,0,0,0,,0,1,1,1,1
186231,2013-04-06,7,4,1,5,22,23,0,0,1,0,2013-04-06,1,1,0,1,1
35868,2013-02-19,20,2,1,1,18,9,0,0,0,0,,0,0,0,1,1
252276,2013-01-14,17,1,1,0,27,42,0,0,1,1,2013-01-14,1,1,0,1,1
96475,2013-04-17,18,4,1,2,40,26,1,1,1,0,2013-04-17,1,1,0,1,1
48738,2012-12-14,10,12,0,4,47,9,0,0,0,0,,0,0,0,1,1
128061,2013-04-15,21,4,1,0,24,16,0,0,1,0,2013-04-15,1,1,0,1,1
33056,2013-01-31,6,1,1,3,21,10,0,0,0,1,,0,0,0,1,1
155464,2013-03-05,17,3,1,1,37,13,0,0,1,0,2013-03-05,1,1,0,1,1
254646,2013-02-22,2,2,1,4,39,20,0,0,1,0,2013-02-22,0,1,0,1,1
9219,2013-01-14,1,1,1,0,41,19,0,0,0,1,,1,1,0,0,1
343109,2013-02-15,2,2,1,4,28,10,0,0,1,1,2013-02-15,1,0,0,1,1
173971,2013-05-31,2,5,1,4,41,36,0,0,0,0,,1,1,0,0,1
301014,2013-01-22,18,1,1,1,45,10,0,1,0,0,,1,0,0,0,1
197481,2012-12-29,6,12,0,5,32,22,0,1,1,0,2013-05-27,0,1,0,1,0
310735,2013-05-15,18,5,1,2,32,27,1,1,1,0,2013-05-15,1,1,0,1,1
128593,2013-04-02,1,4,1,1,31,14,0,0,1,0,2013-04-02,0,1,0,1,1
230906,2013-06-13,16,6,1,3,29,37,1,1,1,0,2013-06-16,1,1,1,1,1
140466,2013-04-02,13,4,1,1,49,2,0,0,0,0,,0,0,0,0,0
335518,2013-03-22,4,3,1,4,34,8,0,0,0,1,,0,1,0,1,1
303117,2013-03-08,4,3,1,4,16,22,0,0,1,0,2013-03-08,0,0,0,1,1
122893,2012-12-14,13,12,0,4,45,7,0,0,0,0,,0,0,0,1,0
17958,2013-03-06,21,3,1,2,21,7,0,1,0,0,,1,0,0,1,0
258498,2013-06-02,21,6,1,6,21,34,0,0,1,0,2013-06-02,1,1,0,1,1
231701,2013-03-11,23,3,1,0,29,25,0,0,1,0,2013-03-11,1,0,1,1,1
79140,2013-06-19,19,6,1,2,19,34,0,0,1,0,2013-06-19,1,1,0,1,1
143464,2013-03-22,20,3,1,4,25,3,0,1,0,1,,0,0,0,0,0
25387,2013-04-08,4,4,1,0,22,46,0,0,1,0,2013-05-07,1,1,1,1,1
144820,2013-06-21,20,6,1,4,28,40,0,0,1,0,2013-06-21,0,1,0,1,1
353289,2013-06-14,10,6,1,4,20,33,0,1,1,0,2013-06-14,1,1,0,1,1
53795,2013-02-08,4,2,1,4,19,16,0,0,1,0,2013-02-08,1,0,0,1,1
254594,2013-05-11,9,5,1,5,38,16,0,0,1,1,2013-05-11,1,1,0,0,1
197255,2013-07-06,23,7,1,5,33,22,0,0,1,0,2013-07-06,0,1,0,1,0
2883,2013-02-12,16,2,1,1,19,31,0,0,1,0,2013-02-12,1,1,0,1,1
349090,2013-02-11,19,2,1,0,24,14,1,1,1,0,2013-02-11,1,1,0,1,0
85455,2013-03-27,18,3,1,2,29,4,0,0,0,0,,0,1,0,0,0
145673,2012-12-08,19,12,0,5,41,34,0,1,1,0,2013-06-30,0,0,1,0,0
186933,2013-05-23,12,5,1,3,53,4,0,0,0,1,,0,1,0,0,0
251478,2013-02-12,0,2,1,1,50,7,0,1,0,0,,0,1,0,0,0
200863,2013-05-22,16,5,1,2,41,50,1,1,1,0,2013-05-26,0,1,1,1,1
127933,2013-06-06,17,6,1,3,31,36,0,1,0,0,,1,1,1,1,1
233385,2013-02-23,15,2,1,5,28,12,0,1,0,0,,0,1,0,1,1
23306,2013-06-30,14,6,1,6,21,42,0,0,1,0,2013-06-30,1,1,0,1,1
286703,2012-12-22,13,12,0,5,26,4,0,0,0,0,,0,0,0,0,1
203193,2012-12-16,6,12,0,6,25,16,0,0,0,1,,0,0,0,1,0
112721,2013-04-13,23,4,1,5,48,47,0,1,0,0,,1,1,0,0,1
